cause_medium,year,age_name,sex,measure,nm_mean
Lower respiratory infections,2010,Under 5 years,Males,death,347.044
Lower respiratory infections,2010,15-19 years,Males,death,59.7743
Lower respiratory infections,2010,20-24 years,Males,death,106.546
Lower respiratory infections,2010,25-29 years,Males,death,132.201
Lower respiratory infections,2010,30-34 years,Males,death,159.033
Lower respiratory infections,2010,35-39 years,Males,death,230.684
Lower respiratory infections,2010,40-44 years,Males,death,413.384
Lower respiratory infections,2010,45-49 years,Males,death,666.228
Lower respiratory infections,2010,50-54 years,Males,death,1002.13
Lower respiratory infections,2010,55-59 years,Males,death,1302.8
Lower respiratory infections,2010,60-64 years,Males,death,1773.22
Lower respiratory infections,2010,65-69 years,Males,death,2129.04
Lower respiratory infections,2010,70-74 years,Males,death,2962.69
Lower respiratory infections,2010,75-79 years,Males,death,4464.4
Lower respiratory infections,2010,80+ years,Males,death,23759.2
Lower respiratory infections,2010,All ages,Males,death,39571.4
Lower respiratory infections,2010,5-14 years,Males,death,62.9928
Lower respiratory infections,2010,Under 5 years,Females,death,272.633
Lower respiratory infections,2010,15-19 years,Females,death,52.7144
Lower respiratory infections,2010,20-24 years,Females,death,83.3545
Lower respiratory infections,2010,25-29 years,Females,death,103.882
Lower respiratory infections,2010,30-34 years,Females,death,134.148
Lower respiratory infections,2010,35-39 years,Females,death,201.96
Lower respiratory infections,2010,40-44 years,Females,death,338.855
Lower respiratory infections,2010,45-49 years,Females,death,542.853
Lower respiratory infections,2010,50-54 years,Females,death,760.576
Lower respiratory infections,2010,55-59 years,Females,death,989.406
Lower respiratory infections,2010,60-64 years,Females,death,1374.53
Lower respiratory infections,2010,65-69 years,Females,death,1670.6
Lower respiratory infections,2010,70-74 years,Females,death,2374.34
Lower respiratory infections,2010,75-79 years,Females,death,3801.6
Lower respiratory infections,2010,80+ years,Females,death,33109.2
Lower respiratory infections,2010,All ages,Females,death,45876.1
Lower respiratory infections,2010,5-14 years,Females,death,65.444
Upper respiratory infections,2010,Under 5 years,Males,death,1.6549
Upper respiratory infections,2010,15-19 years,Males,death,0.638709
Upper respiratory infections,2010,20-24 years,Males,death,0.7667
Upper respiratory infections,2010,25-29 years,Males,death,0.61529
Upper respiratory infections,2010,30-34 years,Males,death,0.481341
Upper respiratory infections,2010,35-39 years,Males,death,0.522866
Upper respiratory infections,2010,40-44 years,Males,death,0.849714
Upper respiratory infections,2010,45-49 years,Males,death,1.74442
Upper respiratory infections,2010,50-54 years,Males,death,3.00153
Upper respiratory infections,2010,55-59 years,Males,death,3.45641
Upper respiratory infections,2010,60-64 years,Males,death,3.87266
Upper respiratory infections,2010,65-69 years,Males,death,3.39059
Upper respiratory infections,2010,70-74 years,Males,death,4.02925
Upper respiratory infections,2010,75-79 years,Males,death,5.87894
Upper respiratory infections,2010,80+ years,Males,death,33.9498
Upper respiratory infections,2010,All ages,Males,death,67.2661
Upper respiratory infections,2010,5-14 years,Males,death,2.41292
Upper respiratory infections,2010,Under 5 years,Females,death,1.39138
Upper respiratory infections,2010,15-19 years,Females,death,0.563271
Upper respiratory infections,2010,20-24 years,Females,death,0.599812
Upper respiratory infections,2010,25-29 years,Females,death,0.483489
Upper respiratory infections,2010,30-34 years,Females,death,0.406021
